Location_order,TripID,LocationID
1,1,200
2,1,424
3,1,79
4,1,626
5,1,443
6,1,96
7,1,985
8,1,104
9,1,961
10,1,696
11,1,819
12,1,107
13,1,546
14,1,567
15,1,375
16,1,660
17,1,91
18,1,32
19,1,539
20,1,624
21,1,702
22,1,984
23,1,227
24,1,886
25,1,992
1,2,520
2,2,561
3,2,926
4,2,79
5,2,782
6,2,554
7,2,272
8,2,689
9,2,424
10,2,699
11,2,133
12,2,260
13,2,754
14,2,713
15,2,703
16,2,747
17,2,789
18,2,840
19,2,628
20,2,804
21,2,305
22,2,546
23,2,441
24,2,636
25,2,900
1,3,462
2,3,561
3,3,453
4,3,728
5,3,421
6,3,585
7,3,310
8,3,686
9,3,247
10,3,754
11,3,821
12,3,572
13,3,702
14,3,408
15,3,598
16,3,465
17,3,479
18,3,508
19,3,513
20,3,476
21,3,723
22,3,888
23,3,284
24,3,880
25,3,749
1,4,484
2,4,777
3,4,547
4,4,100
5,4,160
6,4,702
7,4,248
8,4,651
9,4,369
10,4,815
11,4,305
12,4,842
13,4,589
14,4,482
15,4,900
16,4,546
17,4,936
18,4,684
19,4,221
20,4,297
21,4,585
22,4,638
23,4,561
24,4,647
25,4,821
1,5,930
2,5,746
3,5,292
4,5,473
5,5,361
6,5,671
7,5,428
8,5,2
9,5,74
10,5,688
11,5,180
12,5,990
13,5,527
14,5,163
15,5,486
16,5,875
17,5,249
18,5,183
19,5,758
20,5,532
21,5,924
22,5,851
23,5,548
24,5,840
25,5,371
1,6,947
2,6,238
3,6,698
4,6,975
5,6,385
6,6,603
7,6,361
8,6,496
9,6,742
10,6,132
11,6,330
12,6,144
13,6,83
14,6,59
15,6,981
16,6,642
17,6,389
18,6,140
19,6,840
20,6,872
21,6,931
22,6,705
23,6,416
24,6,749
25,6,711
1,7,909
2,7,31
3,7,954
4,7,206
5,7,725
6,7,687
7,7,892
8,7,633
9,7,434
10,7,631
11,7,661
12,7,873
13,7,401
14,7,996
15,7,92
16,7,819
17,7,900
18,7,818
19,7,651
20,7,717
21,7,702
22,7,761
23,7,695
24,7,215
25,7,306
1,8,961
2,8,345
3,8,246
4,8,666
5,8,899
6,8,168
7,8,893
8,8,812
9,8,237
10,8,969
11,8,194
12,8,85
13,8,60
14,8,336
15,8,232
16,8,366
17,8,100
18,8,457
19,8,511
20,8,771
21,8,91
22,8,307
23,8,698
24,8,202
25,8,935
1,9,199
2,9,12
3,9,449
4,9,171
5,9,439
6,9,270
7,9,934
8,9,619
9,9,945
10,9,786
11,9,392
12,9,118
13,9,806
14,9,319
15,9,956
16,9,138
17,9,594
18,9,296
19,9,891
20,9,221
21,9,39
22,9,733
23,9,802
24,9,975
25,9,19
1,10,642
2,10,775
3,10,458
4,10,48
5,10,444
6,10,931
7,10,657
8,10,781
9,10,874
10,10,829
11,10,238
12,10,294
13,10,689
14,10,950
15,10,425
16,10,234
17,10,473
18,10,420
19,10,906
20,10,974
21,10,867
22,10,530
23,10,274
24,10,905
25,10,708
1,11,366
2,11,813
3,11,745
4,11,384
5,11,406
6,11,511
7,11,987
8,11,739
9,11,888
10,11,205
11,11,64
12,11,533
13,11,637
14,11,337
15,11,689
16,11,419
17,11,260
18,11,85
19,11,385
20,11,991
21,11,407
22,11,382
23,11,154
24,11,42
25,11,915
1,12,460
2,12,877
3,12,294
4,12,935
5,12,454
6,12,722
7,12,849
8,12,5
9,12,257
10,12,971
11,12,717
12,12,511
13,12,643
14,12,989
15,12,812
16,12,194
17,12,354
18,12,385
19,12,500
20,12,248
21,12,791
22,12,676
23,12,46
24,12,669
25,12,700
1,13,739
2,13,657
3,13,677
4,13,973
5,13,165
6,13,645
7,13,178
8,13,764
9,13,781
10,13,876
11,13,717
12,13,396
13,13,886
14,13,751
15,13,90
16,13,196
17,13,404
18,13,34
19,13,690
20,13,41
21,13,469
22,13,939
23,13,436
24,13,525
25,13,94
1,14,752
2,14,60
3,14,980
4,14,258
5,14,789
6,14,906
7,14,571
8,14,206
9,14,209
10,14,444
11,14,348
12,14,825
13,14,891
14,14,234
15,14,33
16,14,352
17,14,184
18,14,236
19,14,693
20,14,211
21,14,728
22,14,810
23,14,774
24,14,844
25,14,787
1,15,464
2,15,882
3,15,378
4,15,173
5,15,888
6,15,567
7,15,853
8,15,183
9,15,569
10,15,720
11,15,513
12,15,227
13,15,364
14,15,383
15,15,522
16,15,136
17,15,331
18,15,275
19,15,924
