ParticipantID,TripID
785,833
950,900
1440,535
1761,361
1286,68
506,859
979,325
244,859
674,443
830,202
1030,263
1076,608
88,504
124,161
1946,464
505,792
1528,890
1804,7
1045,921
1065,607
325,43
552,988
1288,90
1513,208
1347,670
1933,13
1759,614
704,978
969,495
1740,372
1910,29
1134,562
1273,906
1703,490
1725,249
1078,438
343,972
849,578
1284,506
957,111
1853,434
278,762
295,931
1258,224
1078,788
123,824
1544,29
346,115
2,305
581,921
288,110
1239,332
1860,450
39,722
376,115
303,768
886,594
91,131
889,111
1744,625
1835,743
1081,281
1554,501
893,984
1135,517
1183,184
1242,764
1942,209
956,932
1393,933
1068,584
1500,241
1651,410
1293,702
1406,579
1139,235
328,959
1229,128
110,507
379,897
203,671
1868,236
835,359
1509,303
1638,713
1563,539
1657,174
1731,123
1717,225
1395,174
786,847
404,553
216,502
1694,241
1850,754
388,959
859,544
575,785
671,493
303,97
1240,421
1252,246
290,801
216,852
1215,364
1308,555
977,950
265,744
1691,293
631,313
1366,533
779,965
1515,67
245,277
396,446
1782,596
546,390
568,903
1793,196
1225,678
199,282
126,935
32,519
1190,842
1960,494
939,442
612,47
259,683
570,575
518,385
1445,21
426,796
1513,155
1592,448
1597,792
1760,32
73,119
834,217
1591,196
256,11
283,114
1477,848
35,766
1857,315
604,694
585,452
1755,38
594,6
681,160
683,987
359,863
791,520
1644,207
1704,258
997,396
561,997
485,221
1794,151
849,875
1810,95
1853,731
332,356
1999,556
1617,454
1049,936
703,299
345,591
1047,109
994,448
1538,346
1144,392
1999,906
645,479
1374,854
1712,849
1464,747
1161,746
812,592
433,7
262,125
336,74
1273,398
1176,465
111,895
92,653
529,654
1285,408
946,942
619,547
429,423
527,958
1623,403
599,834
1774,572
1531,814
906,762
63,73
408,485
1160,120
1164,239
1181,408
234,305
2,736
1466,577
1675,162
992,886
1859,471
436,439
1477,177
1597,471
1953,106
1385,588
2000,861
663,603
401,603
1612,752
583,85
1551,476
1289,476
661,907
604,373
585,131
1858,404
112,850
982,706
467,260
749,912
1399,994
728,35
86,568
1539,250
23,219
41,44
495,214
1496,553
105,968
1140,137
443,963
1255,841
1389,841
1332,307
286,979
1387,768
113,270
187,219
1725,9
1556,954
133,922
1096,969
512,918
1591,948
887,41
1370,949
1643,549
1982,15
662,862
1345,892
385,584
128,928
429,102
150,687
1055,564
1017,272
25,399
1214,35
1144,205
73,66
644,821
592,631
41,528
738,456
454,697
1138,575
1671,257
624,704
90,770
1554,611
1186,215
1457,678
216,128
482,247
1607,622
922,519
1426,52
880,293
286,308
1411,683
879,822
78,544
417,10
592,765
396,72
571,827
1413,355
1096,648
1833,160
1241,248
186,612
1072,412
958,310
961,581
691,720
746,427
654,838
676,597
1190,818
151,217
935,299
1859,418
1881,177
477,387
193,628
549,263
212,89
1026,602
1389,654
1562,582
473,618
1460,305
412,150
582,561
1113,197
1780,660
1681,654
588,726
390,741
1382,772
1793,306
1490,305
1030,320
677,956
88,561
671,387
827,900
863,557
596,967
1427,141
480,792
521,793
227,346
1383,34
195,808
1447,958
1846,475
84,977
206,408
1383,973
797,95
1595,75
1738,383
683,747
1380,675
1844,779
1231,552
190,814
415,932
430,274
51,655
